country,independence,self_expression,obedience,unselfish,faith,determination,thrift,tolerance,responsibility,hard_work,imagination
Slovenia,88,48.8,41.2,44.2,23.4,65.2,54.6,81.2,83.1,50.9,26.2
Egypt,80.2,20.6,42.1,29.2,83.4,17.8,22.5,62.3,59.2,50.4,6.2
Germany,73.5,39.2,12.6,5.9,12.1,59.6,38.1,66.7,80.9,17.9,29.5
Taiwan,72.3,37.5,11.1,24.4,9,28,54.1,77.4,82.4,40.4,18.7
Singapore,72.1,13.7,37.5,26,26.2,44.3,47.4,54.1,69.7,60.8,18.8
Malaysia,71.7,10.7,24.9,30.6,63.8,40.1,60.4,74.6,64.9,43.6,24.4
Sweden,70.3,37.6,12.2,30.4,4.4,33.6,38.6,87,82.5,13.8,46.7
China,69.7,10.5,7.5,29.2,1.2,26,50.7,52.2,65.9,75.3,17
Japan,67.7,33.6,5,45.1,4.4,67.8,47.8,64.6,87.3,35.1,31.6
Australia,65,36.3,28.2,49.2,15.2,50.3,30.7,86.3,65.9,59.1,39.8
Philippines,65,11.5,40.8,31.8,59.8,29.9,41.9,62.3,67.2,69.5,14
Kyrgyzstan,61.2,13.5,38.6,28.8,24.8,51.9,41.3,57.6,76.3,84.6,14.8
Netherlands,60.7,23,25.6,22.9,13.9,37.1,47.5,86,90.8,31.3,20
Trinidad and Tobago,58.6,15.3,71.9,16,68.1,26,35.2,84.2,48.6,61.4,5.8
Azerbaijan,58.5,53.6,6.4,21.7,19.4,39.7,52.8,71.7,79.2,74,13.3
South Korea,57.8,49.9,8.7,10.5,25,54.5,65.1,40.8,87.8,64.3,14.5
Uzbekistan,57.6,8.3,24.5,23.5,5.7,56.7,33.2,80.5,75,92.7,4
Tunisia,55.1,18.3,38.7,33.2,76.1,28.7,23.2,54.9,77.3,73.9,15
Estonia,54.5,62.9,62.7,42.5,18.8,69.4,77,84.5,88.4,87.5,36.8
United States,53.6,17.6,27.9,32.7,43.1,35.7,31.6,71.8,65.2,66.4,30.5
New Zealand,53.5,32.1,24.1,36.6,15.9,48.5,33.4,83.1,56.1,50.2,36.3
Chile,49.2,36.4,45.8,42.7,27.5,53.6,36.4,82,76.9,30.5,22.2
Uruguay,48.2,38.6,51.6,52.9,15.8,35,20.6,82,81.6,21.8,19.8
Kazakhstan,43.7,28.6,32.9,29.7,10,44.7,52.8,60,75,84.7,12.4
Jordan,43.6,24.6,56.2,36.5,79.8,27.4,27.9,76.5,73.1,39.5,14.8
Poland,43.4,41,34.1,15.1,39.5,19.3,49.5,82.6,81,17.9,16.8
Pakistan,43.1,16.7,50,36.6,72.8,35.9,42.4,52.8,62.3,55.7,31.2
Spain,43.1,8.3,31.4,35,10.6,37.5,29.6,74.1,78.6,66.6,24.8
Cyprus,43.1,39.3,37.2,36,37.4,41,30.6,69.7,80.7,40.8,23.4
Morocco,43,29.7,29.2,25.3,77.6,19.2,23.8,56.6,63.8,67.1,23.9
Palestine,42.9,25.3,48.2,34.6,76.2,20,37.4,70.3,68.6,43,18.4
Ukraine,42.8,32.3,42.3,19.9,22.3,39.4,45.1,59,75.5,85.8,13
Romania,42.2,29,13,12.6,51.7,29.9,39.4,65.2,70.4,77.3,32.7
Kuwait,41.8,29.4,56.3,39,73.8,28.4,36.5,67.8,60.3,51.3,28
Zimbabwe,39.1,20.6,70.1,29.5,59.6,49.4,25.1,63.8,43.1,76,13.3
Nigeria,38.9,22.8,62.8,31.7,72.7,36.9,19.1,59.8,42.6,78,15.1
Belarus,38.6,29.8,33.8,13.9,14.4,35.1,55,60.7,80.6,87.6,12.1
Mexico,38.5,18.6,54.6,43.4,35.3,27,34.6,77.9,74.9,38,23.8
Libya,38.4,22.5,59,35.3,79.1,25.2,29.8,80,71.8,41.4,12.2
Russia,37.8,32.1,34.8,22.6,13.9,45.4,50.3,63.5,77.5,84.5,16.5
Ecuador,37.4,12.6,59.7,54.1,49,25.4,47.3,67.7,75,44.3,25.1
Iraq,36.8,12.6,68.4,34,75,22.2,27.4,74.2,70.3,57.8,15.3
Colombia,36.4,31.5,66.4,45.8,60.3,24.3,29.4,86.4,82,13.6,20.8
Turkey,35,37.9,33.9,27.7,39.7,38,39.4,61.4,66.5,72,28.3
Qatar,34.3,19.6,46.9,32.5,84.7,18.1,25.2,76.9,75.6,48.9,12.4
Peru,33.3,22.9,52.3,38.6,42.1,23.4,23.8,67.6,71.3,16.5,16.7
Lebanon,32.3,23.1,17.4,28.7,33.6,30.8,24.5,46.9,51.7,39.8,18.7
Algeria,31.2,17.8,47.9,34.3,64.7,35.2,31.2,61.4,56.3,59.5,23.4
Yemen,30.6,6.5,70,31,84.5,30.5,38.3,80,68.7,31.7,9.1
Rwanda,30.3,8.7,60.6,52,42.2,35.4,41.9,56.4,72,69.2,33.3
Ghana,28.8,23.2,73.8,24.6,70.6,45.9,24.4,66.1,34.9,85.5,12
Armenia,28,19.7,24.2,24.1,38.1,32.8,28.5,56.3,79.6,81.9,6.1
